Date,AMZN_P,BABA_P,WMT_P,AAPL_P,JD_P,AMZN_V,BABA_V,WMT_V,AAPL_V,JD_V
2020-08-13,3161.02002,253.7200012,129.8340607,114.2750015,62.54000092,3149000,8794500,6622400,210082000,7453300
2020-08-14,3148.02002,253.9700012,130.5726013,114.1731644,62.06000137,2751700,7876400,6702100,165565200,10270200
2020-08-17,3182.409912,256.9599915,133.5267334,113.8750763,66.98000336,2691200,9760000,13155000,119561600,32952600
2020-08-18,3312.48999,259.2000122,132.6503296,114.8239746,70.31999969,5346000,13267800,26744200,105633600,23255700
2020-08-19,3260.47998,260.5899963,130.3854828,114.9680405,72.55999756,4185100,14096500,12718400,145538000,22116000
2020-08-20,3297.370117,257.9700012,128.5736237,117.5191345,73.94000244,3332500,21460800,8936900,126907200,22001100
2020-08-21,3284.719971,265.7999878,129.6174316,123.5751877,74.98000336,3575900,25648200,8288000,338054800,12574700
2020-08-24,3307.459961,276.019989,129.3220062,125.0531845,76.18000031,4666300,22475800,6604600,345937600,12517100
2020-08-25,3346.48999,286,128.6327209,124.0272827,78.97000122,3992800,27535500,7240800,211495600,19106300
2020-08-26,3441.850098,291.9599915,128.7016296,125.7139282,80.37999725,6508700,19530300,6271600,163022400,19095700
2020-08-27,3400,284.1700134,134.5409698,124.2111053,79.30000305,4264800,14805800,39672900,155552400,12674100
2020-08-28,3401.800049,289,138.1548615,124.0098953,79.95999908,2897000,9681500,21350300,187630000,7989900
2020-08-31,3450.959961,287.0299988,136.7270203,128.215332,78.63999939,4185900,13253800,15078800,225702700,12917300
2020-09-01,3499.120117,298,145.3333893,133.3224945,82.48999786,3432200,13797100,35599400,151948100,11431400
2020-09-02,3531.449951,296.0700073,145.4220123,130.560257,83.20999908,3931500,12638600,17222000,200119000,13860900
2020-09-03,3368,282.5,142.3300323,120.1074829,79.04000092,8161100,16766200,16005000,257599600,19254000
2020-09-04,3294.620117,281.3900146,140.6461945,120.1869736,80,8781800,15885800,11327400,332607200,21500900
2020-09-08,3149.840088,270.019989,136.3331451,112.0990067,76.22000122,6094200,12734000,11322300,231366600,14080500
2020-09-09,3268.610107,273.1499939,137.7511292,116.5702438,77.19000244,5188700,9465700,11223000,176940500,8952800
2020-09-10,3175.110107,267.5499878,134.7182312,112.7647247,74.52999878,5330700,10676800,11236400,182274400,11810400
2020-09-11,3116.219971,271.6099854,134.6099091,111.2842407,74.18000031,5094000,9412800,9626600,180860300,10572300
2020-09-14,3102.969971,274.1000061,135.2204285,114.6227646,76.58999634,4529600,7883300,15244600,140150100,7414900
2020-09-15,3156.129883,277.9599915,135.2597961,114.8016205,77,4021500,8291400,10142600,184642000,8105500
2020-09-16,3078.100098,278.1400146,134.1766205,111.4134064,75.08999634,4512200,9583500,9286800,154679000,8055400
2020-09-17,3008.72998,275.7200012,134.6000519,109.6348495,74.37000275,6449100,8016900,12415000,178011000,9099400
2020-09-18,2954.909912,272.4100037,133.2214508,106.1572113,74.5,8892600,11753500,18236400,287104900,9575000
2020-09-21,2960.469971,273.8200073,134.9742584,109.3765106,75.12999725,6117900,9076400,15758500,195713800,9180800
2020-09-22,3128.98999,275.2900085,136.1952667,111.0954514,75,6948800,9673300,11034000,183055400,7226600
2020-09-23,2999.860107,272.9500122,133.9107666,106.4354172,74.58999634,5652700,7353200,7711100,150718700,9962200
2020-09-24,3019.790039,269.730011,134.6099091,107.5283966,72.72000122,5529400,9562100,9817700,167743300,12166700
2020-09-25,3095.129883,271.0899963,135.1712036,111.5624466,74.66999817,4615200,11466600,7539600,149981400,12517600
2020-09-28,3174.050049,276.0100098,135.151474,114.2253265,76.09999847,4224200,8761700,7065700,137672400,8245600
2020-09-29,3144.879883,276.9299927,135.0431824,113.360878,75.16000366,3495800,7673300,9234300,99382200,5927400
2020-09-30,3148.72998,293.980011,137.770813,115.0698853,77.61000061,4896100,24777700,11608800,142675200,11377900
2020-10-01,3221.26001,290.0499878,140.8923492,116.0436325,78.56999969,4971900,16304000,14430300,116120400,7422700
2020-10-02,3125,288.1700134,138.3517914,112.2977219,76.09999847,5613100,11482800,8195000,144712000,8825800
2020-10-05,3199.199951,288.269989,139.6319275,115.7554779,76.40000153,3775300,17876400,4753000,106243800,6122300
2020-10-06,3099.959961,292.3900146,138.4798126,112.4368286,76.69000244,5086900,15860400,7158500,161498200,10015400
2020-10-07,3195.689941,296.5,138.7358246,114.3445587,78.12000275,4309400,16669300,5649700,96849000,12186400
2020-10-08,3190.550049,300.5400085,139.1986542,114.23526,78.15000153,3174100,15105800,4892300,83477200,10987700
2020-10-09,3286.649902,299.7399902,140.5969543,116.2224731,79.79000092,4907900,11442200,4831600,100506900,11319800
2020-10-12,3442.929932,306.3399963,142.0444489,123.6049957,84.31999969,8364200,14780100,6134100,240226800,18046200
2020-10-13,3443.629883,308.7799988,143.9941711,120.326088,82.61000061,5744700,10898500,7933400,262330500,12402300
2020-10-14,3363.709961,301.0400085,141.7391968,120.4155045,81.09999847,5812700,15157800,6570300,150712000,12398300
2020-10-15,3338.649902,299.4599915,142.3201904,119.9385834,80.25,5223400,9709900,4564200,112559200,10540000
2020-10-16,3272.709961,307.3099976,142.4974365,118.2593689,81.51999664,6474400,12338000,5645000,115393800,9775400
2020-10-19,3207.209961,305.2900085,140.764328,115.2388,80.61000061,5223600,14107300,4881100,120639300,8051000
2020-10-20,3217.01001,309.8099976,141.6998138,116.7590256,82.56999969,4509700,8806100,4841000,124423700,9706500
2020-10-21,3184.939941,307.9700012,142.1921692,116.1231232,82.62999725,4592700,11139700,4371400,89946000,7680200
2020-10-22,3176.399902,306.2799988,141.3551788,115.0102692,81.30999756,4212000,8008400,4448000,101988000,8746300
2020-10-23,3204.399902,309.9200134,141.650589,114.3048172,81.33999634,3466700,6231400,3513500,82572600,6838800
2020-10-26,3207.040039,306.8699951,139.9864197,114.314743,81.41000366,5901200,9350100,5370600,111850700,4882200
2020-10-27,3286.330078,317.1400146,140.6855621,115.8548355,83.01000214,4291000,13175900,3943700,92276800,7916000
2020-10-28,3162.780029,307.9400024,137.8988342,110.4893417,80.08000183,5588300,13644500,5616400,143937800,8176300
2020-10-29,3211.01001,312.5599976,137.7806702,114.5830154,83.04000092,6596500,11174500,5051300,146129200,13156600
2020-10-30,3036.149902,304.6900024,136.6285553,108.1643143,81.51999664,8386400,14918500,6200600,190272600,9178500
2020-11-02,3004.47998,310.8399963,138.2533264,108.0748749,82.31999969,7257400,11857600,5525200,122866900,8976800
2020-11-03,3048.409912,285.5700073,140.5969543,109.7342148,82.69000244,4897900,58132500,5137700,107624400,14326800
2020-11-04,3241.159912,295.7099915,139.7894897,114.2153854,89.30999756,6839000,28791200,5975800,138235500,24149400
2020-11-05,3322,287.75,141.2763824,118.26931,91.58999634,5789300,50065200,4734200,126387100,16688500
2020-11-06,3311.370117,299.9500122,143.541214,118.1349564,92.48999786,4647300,25259600,5399500,114457900,9631800
2020-11-09,3143.73999,290.5299988,141.3453064,115.7760315,84.86000061,7190400,22559900,9399500,154515300,20851500
2020-11-10,3035.02002,266.5400085,143.3344421,115.4276657,80.08000183,6591000,61064000,6066400,138023400,27080100
2020-11-11,3137.389893,265.6499939,145.7174225,118.9312057,82.83999634,4366900,41699000,6268600,112295000,17811700
2020-11-12,3110.280029,264.3099976,145.963623,118.6525116,86.37999725,4362000,27119100,4188100,103162300,21641000
2020-11-13,3128.810059,260.8399963,148.2382813,118.7022858,92.08000183,3756200,33942800,6579400,81581900,22683200
2020-11-16,3131.060059,258.3099976,150.1092377,119.7374191,85.26000214,3808700,20864200,11520100,91183000,31929400
2020-11-17,3135.659912,256.7999878,147.0861664,118.831665,86.97000122,3444700,19739500,14237200,74271000,17068300
2020-11-18,3105.459961,255.8300018,146.8104553,117.4780273,86.25,2916800,28307100,8312300,76322100,12563900
2020-11-19,3117.02002,259.8900146,149.7941132,118.0851822,86.04000092,3010300,20752800,6196900,74113000,10795300
2020-11-20,3099.399902,270.7399902,147.9428711,116.7912521,87.73999786,3374400,34178400,7312400,73604300,10585900
2020-11-23,3098.389893,270.1099854,148.6223145,113.3175812,87.55999756,4708900,25317100,6185700,127959300,9925100
2020-11-24,3118.060059,279.9599915,149.0457458,114.6314087,89.81999969,3602100,20660500,5718400,113874200,9568100
2020-11-25,3185.070068,277.7200012,149.5085754,115.487381,88.23000336,3790400,15229300,4611100,76499200,11424300
2020-11-27,3195.340088,276.480011,149.2820892,116.0447617,89.41000366,2392900,9583200,3666500,46691300,5787600
2020-11-30,3168.040039,263.3599854,150.4538727,118.4932709,85.34999847,4063900,30476100,10898500,169410200,18014400
2020-12-01,3220.080078,264.0100098,150.3061676,122.1460953,85.36000061,4537000,14573100,7645100,127728200,10878100
2020-12-02,3203.530029,261.3200073,148.2186127,122.5044174,84.37999725,3129300,13919700,7849000,89004200,12434400
2020-12-03,3186.72998,266.9100037,147.0172424,122.3650742,86.29000092,2892000,15520500,8575300,78967600,7929400
2020-12-04,3162.580078,267.25,146.6332092,121.678299,85.19000244,2913600,15527600,6963100,78260400,9411000
2020-12-07,3158,264,145.8454437,123.1712799,83.48999786,2751300,11388700,6159700,86712000,12677500
